breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,extracted_paragraph,extracted_image_url
Afador,https://dogtime.com/dog-breeds/afador,2,1,1,3,3,4,2,3,4,2,3,1,3,4,3,2,3,4,4,4,1,5,4,4,4,4,4,4,4,4,3,Mixed Breed Dogs,20 to 29 inches,50 to 75 pounds,10 to 12 years,"The Afador is a mixed breed dog–a cross between the Afghan Hound and Labrador Retriever dog breeds. Loyal, energetic, and affectionate, these pups inherited some of the best qualities from both of their parents. These dogs possess an exceptional combination of traits that make them outstanding companions.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/Screenshot-2023-07-01-at-10.23.34-PM-e1688264735488.png?w=1024
Affenhuahua,https://dogtime.com/dog-breeds/affenhuahua,3,4,4,4,1,2,3,3,4,3,2,2,3,2,1,4,4,5,1,3,3,3,4,2,4,2,3,4,3,3,3,Mixed Breed Dogs,6 to 12 inches,4 to 12 pounds,13 to 18 years,"The Affenhuahua is a mixed breed dog–a cross between the Chihuahua and Affenpinscher dog breeds. Petite, sassy, and highly energetic, these pups inherited some of the best traits from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2020/02/affenhuahua-mixed-dog-breed-pictures-COVER.jpg?w=760
Affenpinscher,https://dogtime.com/dog-breeds/affenpinscher,3,5,4,3,1,3,3,3,5,1,4,3,2,1,1,3,4,3,1,3,2,4,4,3,2,2,4,4,3,3,4,Companion Dogs,9 inches to 11 inches tall at the shoulder,7 to 9 pounds,12 to 14 years,"The Affenpinscher breed originated as skilled ratters, initially tasked with pest control in homes, stables, and shops. Through selective breeding, their size decreased, leading them to become companion pets. They are known for their mischievous personalities and love to get into trouble. Affenpinschers are also not afraid to stand up to larger dogs and will often fight back if they feel threatened.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1476309790-e1692208097483.jpg?w=1024
Afghan Hound,https://dogtime.com/dog-breeds/afghan-hound,4,5,3,5,2,5,5,4,5,5,4,2,2,4,1,1,3,1,4,3,1,4,3,5,2,5,4,5,2,4,4,Hound Dogs,"2 feet to 2 feet, 4 inches tall at the shoulder",50 to 60 pounds,10 to 12 years,"Hello, showstopper! The Afghan Hound can’t help but turn heads. Recognized for their unique aesthetic, silky fur, and piercing eyes, these dogs are truly striking. But hey, there’s also brains with that beauty! These dogs are also incredibly intelligent and highly trainable. They are also a very ancient dog breed, with a history dating back thousands of years. Despite their refined appearance and reputation for being one of the most expensive dog breeds in the world, their origins are much more practical. The Bedouin people of Afghanistan bred these dogs to hunt gazelle and other small game in the harsh terrain of the Afghan mountains. Later, Afghan Hounds were also used as war dogs. Of course, these beloved dogs found their way into historical art and literature.",https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1303725904-e1696860728615.jpg?w=1024
Airedale Terrier,https://dogtime.com/dog-breeds/airedale-terrier,2,1,2,3,2,3,3,4,4,4,4,3,3,2,1,2,3,4,3,5,4,5,5,5,4,4,5,5,3,5,5,Terrier Dogs,"1 foot, 9 inches to 1 foot, 11 inches tall at the shoulder",40 to 65 pounds,10 to 13 years,"The Airedale Terrier, commonly called the “King of Terriers,” is the largest of all terrier breeds. Airedales are loyal and loving companions, and they make great family pets. They possesses athleticism and are highly trainable, leading them to excel in a variety of dog sports, including obedience, agility, and tracking.",https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-984151818-e1692537275682.jpg?w=1024
Akbash,https://dogtime.com/dog-breeds/akbash,3,1,2,3,4,4,2,4,5,4,3,2,4,4,2,3,4,4,4,3,3,4,3,1,3,1,2,2,2,2,3,Working Dogs,27 to 34 inches,75 to 140 pounds,10 to 12 years,"The Akbash dog breed, originating from Turkey, is a magnificent and imposing shepherd known for its exceptional guardian instincts and unwavering loyalty. Sometimes confused with the Great Pyrenees, the Akbash also command attention with their striking white coats and confident demeanor.",https://dogtime.com/wp-content/uploads/sites/12/2020/01/GettyImages-875253932-e1691932168310.jpg?w=1024
Akita,https://dogtime.com/dog-breeds/akita,3,2,2,5,1,5,2,2,5,1,1,2,4,5,5,1,4,4,4,4,2,3,3,4,5,4,4,4,3,4,5,Working Dogs,"2 feet to 2 feet, 4 inches tall at the shoulder",70 to 130 pounds,10 to 12 years,"The Akita, also known as the Japanese Akita, the Akita Inu, or the Japanese Akita Inu, is a large dog breed from Japan. They are known for their loyalty, courage, and independence. Akitas are typically white, brown, or brindle. They have a thick, double coat that is weather-resistant. Originally bred for hunting large game such as bears and boars, Akitas were also used as guard dogs. These noble dogs were prized for their loyalty and courage. ",https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1262676579-1-e1706034743817.jpg?w=1024
Alaskan Klee Kai,https://dogtime.com/dog-breeds/alaskan-klee-kai,3,3,2,4,2,5,2,3,4,3,2,2,3,4,2,4,4,2,2,4,4,4,2,5,3,4,4,4,2,4,4,Companion Dogs,13 to 17 inches,10 to 15 pounds,12 to 16 years,"Small, smart, and energetic, the Alaskan Klee Kai is a relatively new breed. These little dogs have a wolf-like appearance and are sometimes mistaken for miniature Husky. Even the name “Klee Kai” comes from an Inuit term meaning “small dog.” While these little dogs are small, weighing only 16 to 22 pounds, they pack a serious punch of personality.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1480829226-e1694013721239.jpg?w=1024
Alaskan Malamute,https://dogtime.com/dog-breeds/alaskan-malamute,2,1,1,4,1,5,2,4,4,3,2,5,3,5,1,1,4,3,4,4,4,4,3,4,5,5,5,5,5,5,5,Working Dogs,"1 foot, 11 inches to 2 feet, 1 inch tall at the shoulder",75 to 100 pounds,12 to 15 years,"The Alaskan Malamute, bold, friendly, and hardworking, originates from the rugged landscapes of Alaska. With strength, endurance, and unwavering loyalty, these large fluffy dogs were an asset to indigenous people in the north. Belonging to the Mahlemuts of Alaska, Malamutes hold a significant place in the history of the Arctic. They thrived in cold climates, thanks to their thick coat. The double coat also provides insulation against freezing temperatures and comes in various colors. This includes shades of gray, black, white, and copper. It probably goes without saying, but these pups shed a lot.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1435474615-1-e1691930474231.jpg?w=1024
American Bulldog,https://dogtime.com/dog-breeds/american-bulldog,2,1,1,4,1,2,2,3,5,4,2,2,3,1,4,4,3,2,4,3,4,3,2,4,2,3,4,4,4,4,4,Working Dogs,20 to 28 inches,60 to 120 pounds,10 to 16 years,"The American Bulldog is a medium-to-large-sized breed of dog that originated in the United States. They are known for their stocky build, muscular body, and distinctive “bulldog” head. Friendly, loyal, and affectionate, these dogs make wonderful family pets. They are also known for being good watchdogs and are protective of their families. While the American Bulldog is stocky and muscular, they are also agile. They were first bred for chasing down stray cattle and helping with farm work.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1006968824-e1694633377768.jpg?w=1024
